week,product,category,price,unit_cost,promo,units_sold
0,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,856
1,Premium Coffee Beans 1kg,grocery,22.44,11.0,1,986
2,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,699
3,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,754
4,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,800
5,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,648
6,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,733
7,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1115
8,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1135
9,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,626
10,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,931
11,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1684
12,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,773
13,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,1165
14,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,704
15,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,988
16,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,867
17,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,817
18,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,753
19,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,1036
20,Premium Coffee Beans 1kg,grocery,22.44,11.0,1,1481
21,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,647
22,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,767
23,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1322
24,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,608
25,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,827
26,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,581
27,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,912
28,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,451
29,Premium Coffee Beans 1kg,grocery,22.44,11.0,1,1207
30,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,633
31,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,670
32,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,588
33,Premium Coffee Beans 1kg,grocery,22.44,11.0,1,977
34,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,537
35,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,678
36,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,613
37,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,611
38,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,382
39,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,893
40,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,759
